video_id,trending_date,title,channel_title,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed
Mqfh8_Uk1eM,17.14.11,Sudigaali Sudheer Performance | Extra Jabardasth | 10th November 2017 | ETV Telugu,ETV Jabardasth,22,2017-11-10T20:38:52.000Z,1956925,9504,938,956,FALSE,FALSE,FALSE
1kuJkA9usqg,17.14.11,"Deivamagal Episode 1387, 13/11/17",VikatanTV,24,2017-11-13T15:00:01.000Z,387221,2159,1214,711,FALSE,FALSE,FALSE
0SMKG3SRGzQ,17.14.11,Rana hungama at #ChaySam Wedding Reception || TV9,TV9 Telugu,19,2017-11-12T16:08:13.000Z,176472,588,52,23,FALSE,FALSE,FALSE
znOC3IU0dF8,17.14.11,Hero Tarun at #ChaySamWeddingReception | Samantha & Naga Chaitanya Reception Videos | News Mantra,News Mantra,24,2017-11-13T06:03:49.000Z,55178,45,94,15,FALSE,FALSE,FALSE
z3V9LUA6VQM,17.14.11,ఆమె బ్యాంకు అకౌంట్ లో పొరపాటున 125 కోట్లు జమయాయ్యి..! దీంతో ఆమె ఏం చేసిందో తెలుసా..|| OmFut,OmFut,24,2017-11-12T09:45:58.000Z,236710,858,197,66,FALSE,FALSE,FALSE
bx-QX2ZPH60,17.14.11,Moto X4 Unboxing & Hands On Overview (Indian Unit),Geekyranjit,28,2017-11-13T10:00:04.000Z,238637,7975,368,1274,FALSE,FALSE,FALSE
tFM-GNSeXzw,17.14.11,दिन भर की 5 बड़ी ख़बरें @HindiKhabar 12 NOVEMBER  2017,Hindi Khabar,25,2017-11-12T15:26:04.000Z,85432,114,91,13,FALSE,FALSE,FALSE
MF9ovM9y0PE,17.14.11,Punyalan Private Limited Official Teaser 2 | Jayasurya | Ranjith Sankar | Aju Varghese,DREAMS N BEYOND,1,2017-11-12T04:30:00.000Z,249423,7861,68,364,FALSE,FALSE,FALSE
EJVvdjDGnak,17.14.11,Nagarjuna Funny Comments on Samantha Dress || Naga Chaitany Samantha Akkineni Wedding Reception 2017,Top Telugu TV,24,2017-11-13T07:26:33.000Z,256199,318,123,35,FALSE,FALSE,FALSE
Ukjn7A9L7vY,17.14.11,SDI Annual Ijtema 2017 Final Day (For Brothers),SDI Channel,27,2017-11-12T19:26:25.000Z,137438,3926,249,131,FALSE,FALSE,FALSE
gW4Su5wq0b8,17.14.11,Neeya Naana - 12th November 2017 - Promo 2,Vijay Television,24,2017-11-11T07:49:46.000Z,261202,1971,126,201,FALSE,FALSE,FALSE
